collar_id,maker,battery_life,signal_distance,fail,antenna_length,weight
1,Collarium Inc.,109.92868048843846,4188.148652078154,0,7.441049683137828,21.89808786308
2,Collarium Inc.,98.07812275650028,4166.227962593969,0,5.386726294327846,21.75072596096861
3,Collarium Inc.,103.20437303523089,4182.844063934375,0,4.815551113154395,24.792463667918703
4,Collarium Inc.,97.83965406269506,4211.89424163535,0,5.273131943436047,18.1951866073506
5,Collarium Inc.,120.10314903581822,4157.980864297017,0,7.651056213392951,20.838808845414633
6,Collarium Inc.,121.4643237968989,4191.097553538592,0,4.946670393629738,22.950883366536996
7,Collarium Inc.,122.95699302627813,4197.616980818076,0,5.312841213309257,23.9933914484654
8,Collarium Inc.,110.16003524785684,4213.387657819032,0,7.26723112189867,21.2539791548867
9,Collarium Inc.,106.49312295433724,4176.244219497968,0,6.058328892133725,21.90424198164509
10,Collarium Inc.,119.66899691174784,4144.001395117526,0,6.221260002342018,21.379847341874523
11,Collarium Inc.,79.08082658616257,4224.583396304908,0,5.347334445824152,22.934506640117785
12,Collarium Inc.,108.52560081843154,4244.176431598486,0,6.173193837954627,21.245182956929376
13,Collarium Inc.,112.60208684927282,4244.766183280674,0,4.050965095274371,22.08513825010298
14,Collarium Inc.,109.13808441787327,4186.993713856491,0,5.52784777791954,26.03631966529095
15,Collarium Inc.,100.63685828331406,4184.434304420927,1,8.958491784604764,21.26236134320608
16,Collarium Inc.,118.93579576495692,4197.327790963785,0,6.323247400076654,24.391722265923935
17,Collarium Inc.,113.61453346012912,4182.654459239392,0,5.490508075786347,22.646044497606393
18,Collarium Inc.,106.03083790893989,4171.148888207286,0,6.02365470898383,22.675308963695485
19,Collarium Inc.,127.06621512659588,4178.029024321781,0,4.939141745086154,23.091259151679964
20,Collarium Inc.,103.24605042940962,4225.303983695531,0,5.574026608149863,21.316803150335737
21,Collarium Inc.,120.78307667598126,4188.821174094241,0,3.9983270063097143,23.17617561803206
