collar_id,maker,battery_life,signal_distance,fail
1,Collarium Inc.,109.92868048843846,4188.148652078154,0
2,Collarium Inc.,98.07812275650029,4166.227962593969,0
3,Collarium Inc.,103.20437303523089,4182.844063934375,0
4,Collarium Inc.,97.83965406269506,4211.89424163535,0
5,Collarium Inc.,120.10314903581822,4157.980864297017,0
6,Collarium Inc.,121.4643237968989,4191.097553538592,0
7,Collarium Inc.,122.95699302627811,4197.616980818076,0
8,Collarium Inc.,110.16003524785684,4213.387657819032,0
9,Collarium Inc.,106.49312295433724,4176.244219497968,0
10,Collarium Inc.,119.66899691174785,4144.001395117526,0
11,Collarium Inc.,79.08082658616257,4224.583396304908,0
12,Collarium Inc.,108.52560081843154,4244.176431598486,0
13,Collarium Inc.,112.60208684927282,4244.766183280674,0
14,Collarium Inc.,109.13808441787329,4186.993713856491,0
15,Collarium Inc.,100.63685828331406,4184.434304420927,1
16,Collarium Inc.,118.93579576495691,4197.327790963785,0
17,Collarium Inc.,113.61453346012911,4182.654459239392,0
18,Collarium Inc.,106.03083790893989,4171.148888207286,0
19,Collarium Inc.,127.06621512659589,4178.029024321781,0
20,Collarium Inc.,103.24605042940962,4225.303983695531,0
21,Collarium Inc.,120.78307667598126,4188.821174094241,0
22,Collarium Inc.,106.9343911164332,4201.552902008651,0
23,Collarium Inc.,123.30646061412473,4214.994993476376,0
24,Collarium Inc.,113.45831751355276,4228.949608636587,0
25,Collarium Inc.,106.54429822085056,4289.131574886602,0
26,Collarium Inc.,109.2797229089457,4183.341900335021,1
27,Collarium Inc.,122.60826788678334,4233.580897234565,0
28,Collarium Inc.,129.61449574942534,4208.022431189028,0
29,Collarium Inc.,110.78379421754994,4211.9573791996,0
30,Collarium Inc.,120.46416294241853,4274.889539332382,0
31,Collarium Inc.,118.85365746988616,4190.846294475271,0
32,Collarium Inc.,99.5530913837226,4176.686578960053,0
33,Collarium Inc.,108.68637705789388,4193.4136129414,0
34,Collarium Inc.,109.65955814018875,4215.246751051115,0
35,Collarium Inc.,103.9677690990192,4230.026556400059,0
36,Collarium Inc.,106.1102480965287,4208.118972191445,0
37,Collarium Inc.,120.25334554954703,4177.617265778279,0
38,Collarium Inc.,133.098532893484,4212.750493503705,0
39,Collarium Inc.,104.28065448255354,4174.26849985947,0
40,Collarium Inc.,104.82901831718902,4277.107228874567,0
41,Collarium Inc.,99.66753988946951,4148.967354760422,0
42,Collarium Inc.,121.47303030713954,4199.852675314252,0
43,Collarium Inc.,94.50357664261293,4188.913366142252,0
44,Collarium Inc.,118.64128485693655,4219.079015516017,0
45,Collarium Inc.,110.16731712994743,4241.831557352153,0
46,Collarium Inc.,105.41691701532606,4233.052101478693,0
47,Collarium Inc.,114.35524163016336,4194.802549886291,1
48,Budget Collars LLC,98.59934163237348,4219.163254040646,1
49,Budget Collars LLC,114.40083349021245,4318.155589272435,0
50,Budget Collars LLC,100.13716140362541,4289.70228867247,1
51,Budget Collars LLC,101.82697888643617,4294.447432118089,1
52,Budget Collars LLC,103.15287845717437,4279.022409320037,1
53,Budget Collars LLC,100.24156120805985,4242.566791793083,0
54,Budget Collars LLC,102.61217322745624,4270.1121513141425,0
55,Budget Collars LLC,100.24089738323646,4295.699624822064,0
56,Budget Collars LLC,94.33932801518927,4238.552529169618,0
57,Budget Collars LLC,92.16550863925733,4222.513473080998,0
58,Budget Collars LLC,115.70690519499848,4242.493144162155,0
59,Budget Collars LLC,79.60626699016413,4159.650395832871,0
60,Budget Collars LLC,96.51307775675767,4283.829750232275,0
61,Budget Collars LLC,91.42996228557264,4290.242943422026,0
62,Budget Collars LLC,99.29013741258592,4246.596564861087,1
63,Budget Collars LLC,107.06749191867641,4249.278592169686,0
64,Budget Collars LLC,89.19166496713167,4296.184378615075,0
65,Budget Collars LLC,108.25724583543334,4148.0258765796225,0
66,Budget Collars LLC,100.59074849232717,4208.128198697616,0
67,Budget Collars LLC,104.6323549977424,4268.984653828195,0
68,Budget Collars LLC,116.73832396659816,4215.533592384303,1
69,Budget Collars LLC,97.70065020203236,4304.210082634311,0
70,Budget Collars LLC,93.68597733564393,4222.008202515148,1
71,Budget Collars LLC,101.23706493032559,4209.2466173187895,1
72,Budget Collars LLC,91.22493903816475,4239.635673891638,0
73,Budget Collars LLC,112.28913152680634,4282.458625838002,0
74,Budget Collars LLC,92.84978380302408,4204.472277774301,0
75,Budget Collars LLC,114.50170896213,4277.081766512861,0
76,Budget Collars LLC,110.13696303177441,4261.658216479086,0
77,Budget Collars LLC,99.875451711232,4273.822399434094,0
78,Budget Collars LLC,106.75843333735932,4290.454018776796,0
79,Budget Collars LLC,84.40007742196997,4327.0918845099795,0
80,Budget Collars LLC,113.13501945225045,4240.686548031845,0
81,Budget Collars LLC,105.70003222343377,4265.634017463222,0
82,Budget Collars LLC,108.34849645556231,4294.764768085392,0
83,Budget Collars LLC,99.51156178941717,4299.361661183682,0
84,Budget Collars LLC,93.3763972646777,4205.1804325945195,0
85,Budget Collars LLC,109.88751758442784,4266.88820751735,1
86,Budget Collars LLC,103.04872825399694,4245.405814651044,1
87,Budget Collars LLC,101.88275979176072,4246.2395323215,0
88,Budget Collars LLC,89.43069967821738,4273.124561131705,1
89,Budget Collars LLC,107.40116408032628,4270.017792953902,1
90,Budget Collars LLC,111.5046390506911,4197.675025202862,0
91,Budget Collars LLC,99.1161201003174,4279.2084023736215,1
92,Budget Collars LLC,97.07171408399904,4279.297535075835,1
93,Budget Collars LLC,74.50690502686412,4227.86851084413,0
94,Budget Collars LLC,111.10451317236213,4197.270985152322,0
95,Budget Collars LLC,96.85671373682456,4237.017897783011,0
96,Budget Collars LLC,103.82708878934797,4267.435853966746,1
97,Budget Collars LLC,98.98143568486618,4272.364838201597,0
98,Budget Collars LLC,87.56850015174658,4220.626302533782,0
99,Budget Collars LLC,99.21031502541771,4267.345204772188,1
100,Budget Collars LLC,98.349725198216845,4295.579368992887,0
